KO,로트명,로트ID,기판데이터 갱신일시,생산시작 시각,셋업종료 시각,생산종료시각,예정수량(장),실적수량(장),실장CT/장 MAX A,실장CT/장 MAX B,실장CT/장 MAX C,실장CT/장 MAX D,실장CT/장 MIN A,실장CT/장 MIN B,실장CT/장 MIN C,실장CT/장 MIN D,실장CT/장 AVE A,실장CT/장 AVE B,실장CT/장 AVE C,실장CT/장 AVE D,반송CT/장 MAX,반송CT/장 MIN,반송CT/장 AVE,대기CT/장 MAX,대기CT/장 MIN,대기CT/장 AVE,마크인식CT/장 MAX A,마크인식CT/장 MAX B,마크인식CT/장 MAX C,마크인식CT/장 MAX D,마크인식CT/장 MIN A,마크인식CT/장 MIN B,마크인식CT/장 MIN C,마크인식CT/장 MIN D,마크인식CT/장 AVE A,마크인식CT/장 AVE B,마크인식CT/장 AVE C,마크인식CT/장 AVE D,흡착에러 횟수,부품 인식에러 횟수,리드들뜸 에러횟수,마크 인식에러 횟수,반송에러횟수,그 밖의 에러횟수,에러정지 시간(초),에러복구 시간(초),배드마크 NG수,탑재완료 블록수,상류측 대기시간(초),하류측 대기시간(초),설비 가동률(%),마운트점수,부품소비수,스테이지,상류대기CT MAX(초),상류대기CT Min(초),상류대기CT Ave(초),하류대기CT Max(초),하류대기CT Min(초),하류대기CT Ave(초),연속생산CT 장 Max,연속생산CT 장 Min,연속생산CT 장 Ave,생산CT 장 Max,생산CT 장 Min,생산CT 장 Ave,작업자 정지시간(초),레인,다른 레인 대기시간(초),반송정지 옵셋량/장 AVE,생산품종,면 정보,생산로트,---,다른 스테이지 대기시간(초),사이클 타임,source_file
KO,KMJ-EOS_T001-TOP,,2025/10/20 11:58:33,2025-10-20 11:16:50,2025/10/20 11:20:11,2025/10/20 12:02:47,0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,68,420.15,123.78,9.5,4,69,MCH,0.0,0.0,0.0,0.0,0.0,0.0,1618.92,9.54,138.16,1618.92,9.54,150.34,0.0,MCH,0.0,0.0,,,,,0.0,11.78,LotLog_KMJ-EOS_T001-TOP_16_20251020.csv
KO,KMJ-EOS_T001-TOP,,2025/10/20 11:58:33,2025-10-20 11:16:50,2025/10/20 11:20:11,2025/10/20 13:45:36,0,171,5.4,0.0,0.0,0.0,3.42,0.0,0.0,0.0,4.02,0.0,0.0,0.0,39.07,1.27,5.29,2186.3,1.49,31.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,684,2641.72,2663.98,46.6,4,685,A,2186.3,0.0,15.44,20.44,4.12,15.57,0.0,0.0,0.0,0.0,0.0,0.0,3.33,1,0.0,0.0,,,,,0.0,9.389,LotLog_KMJ-EOS_T001-TOP_170_20251020.csv
KO,KMJ-EOS_T001-TOP,,2025/10/20 11:58:33,2025-10-20 11:16:50,2025/10/20 11:20:11,2025/10/20 13:43:24,0,166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,664,2641.72,2576.03,45.9,4,665,MCH,0.0,0.0,0.0,0.0,0.0,0.0,2197.63,9.54,49.97,2197.63,9.54,51.75,0.0,MCH,0.0,0.0,,,,,0.0,9.402,LotLog_KMJ-EOS_T001-TOP_165_20251020.csv
KO,KMJ-EOS_T001-TOP,,2025/10/20 11:58:33,2025-10-20 11:16:50,2025/10/20 11:20:11,2025/10/20 13:45:36,0,171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,684,2641.72,2663.98,46.6,4,685,MCH,0.0,0.0,0.0,0.0,0.0,0.0,2197.63,9.54,49.29,2197.63,9.54,51.02,0.0,MCH,0.0,0.0,,,,,0.0,9.389,LotLog_KMJ-EOS_T001-TOP_170_20251020.csv
KO,KMJ-EOS_T001-TOP,,2025/10/20 11:58:33,2025-10-20 11:16:50,2025/10/20 11:20:11,2025/10/20 13:46:05,0,172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,688,2641.72,2683.55,46.8,4,689,MCH,0.0,0.0,0.0,0.0,0.0,0.0,2197.63,9.54,49.16,2197.63,9.54,50.89,0.0,MCH,0.0,0.0,,,,,0.0,9.387,LotLog_KMJ-EOS_T001-TOP_171_20251020.csv
KO,KMJ-EOS_T001-TOP,,2025/10/20 11:58:33,2025-10-20 11:16:50,2025/10/20 11:20:11,2025/10/20 13:46:32,0,173,5.4,0.0,0.0,0.0,3.42,0.0,0.0,0.0,4.02,0.0,0.0,0.0,39.07,1.27,5.29,2186.3,1.49,30.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,692,2641.72,2701.85,46.9,4,693,A,2186.3,0.0,15.27,20.44,4.12,15.61,0.0,0.0,0.0,0.0,0.0,0.0,3.33,1,0.0,0.0,,,,,0.0,9.384,LotLog_KMJ-EOS_T001-TOP_172_20251020.csv
KO,KMJ-EOS_T001-TOP,,2025/10/20 11:58:33,2025-10-20 11:16:50,2025/10/20 11:20:11,2025/10/20 13:46:32,0,173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,692,2641.72,2701.85,46.9,4,693,MCH,0.0,0.0,0.0,0.0,0.0,0.0,2197.63,9.54,49.04,2197.63,9.54,50.75,0.0,MCH,0.0,0.0,,,,,0.0,9.384,LotLog_KMJ-EOS_T001-TOP_172_20251020.csv
KO,KMJ-EOS_T001-TOP,,2025/10/20 11:58:33,2025-10-20 11:16:50,2025/10/20 11:20:11,2025/10/20 13:47:00,0,174,5.4,0.0,0.0,0.0,3.42,0.0,0.0,0.0,4.02,0.0,0.0,0.0,39.07,1.27,5.29,2186.3,1.49,30.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,696,2641.72,2721.1,47.0,4,697,A,2186.3,0.0,15.18,20.44,4.12,15.63,0.0,0.0,0.0,0.0,0.0,0.0,3.33,1,0.0,0.0,,,,,0.0,9.382,LotLog_KMJ-EOS_T001-TOP_173_20251020.csv
KO,KMJ-EOS_T001-TOP,,2025/10/20 11:58:33,2025-10-20 11:16:50,2025/10/20 11:20:11,2025/10/20 13:47:00,0,174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,696,2641.72,2721.1,47.0,4,697,MCH,0.0,0.0,0.0,0.0,0.0,0.0,2197.63,9.54,48.92,2197.63,9.54,50.62,0.0,MCH,0.0,0.0,,,,,0.0,9.382,LotLog_KMJ-EOS_T001-TOP_173_20251020.csv
KO,KMJ-EOS_T001-TOP,,2025/10/20 11:58:33,2025-10-20 11:16:50,2025/10/20 11:20:11,2025/10/20 13:47:26,0,175,5.4,0.0,0.0,0.0,3.42,0.0,0.0,0.0,4.02,0.0,0.0,0.0,39.07,1.27,5.29,2186.3,1.49,30.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,700,2641.72,2738.18,47.2,4,700,A,2186.3,0.0,15.09,20.44,4.12,15.64,0.0,0.0,0.0,0.0,0.0,0.0,3.33,1,0.0,0.0,,,,,0.0,9.379,LotLog_KMJ-EOS_T001-TOP_174_20251020.csv
