KO,발생시간,기판명,기판 코멘트,에러/작업번호,내용,상세,작업자,생산품종,면 정보,생산로트,source_file
KO,2025-11-11 13:47:02,SH-WATERSENSER_1VS1_HOME_CARE2,,Ea803,인터록 앞쪽 피더들뜸 센서 1,,관리자,,,,ErrLog_SH-WATERSENSER_1VS1_HOME_CARE2_0_20251111.csv
KO,2025-11-11 14:41:24,SH-WATERSENSER_1VS1_HOME_CARE2,,Ea814,인터록 앞쪽 피더들뜸 센서 2,,관리자,,,,ErrLog_SH-WATERSENSER_1VS1_HOME_CARE2_0_20251111.csv
KO,2025-11-11 14:48:15,SH-WATERSENSER_1VS1_HOME_CARE2,,O13187,샤프트 청소 블로우 정상 종료,/TableA,관리자,,,,ErrLog_SH-WATERSENSER_1VS1_HOME_CARE2_0_20251111.csv
KO,2025-11-11 14:49:58,SH-WATERSENSER_1VS1_HOME_CARE2,,Ea12894,기판 불명,(버튼)예 /레인1 /실장위치,관리자,,,,ErrLog_SH-WATERSENSER_1VS1_HOME_CARE2_0_20251111.csv
KO,2025-11-11 16:58:24,SH-WATERSENSER_1VS1_HOME_CARE2,,Ea814,인터록 앞쪽 피더들뜸 센서 2,,관리자,,,,ErrLog_SH-WATERSENSER_1VS1_HOME_CARE2_84_20251111.csv
KO,2025-11-12 10:15:31,SEIL-AIRDEEP_M_BOT_251113,,Ea814,인터록 앞쪽 피더들뜸 센서 2,,관리자,,,,ErrLog_SEIL-AIRDEEP_M_BOT_251113_0_20251112.csv
KO,2025-11-12 10:50:36,SEIL-AIRDEEP_M_TOP_251113,,Ea803,인터록 앞쪽 피더들뜸 센서 1,,관리자,,,,ErrLog_SEIL-AIRDEEP_M_TOP_251113_0_20251112.csv
KO,2025-11-12 11:22:39,SEIL-IDS_9100_LED_BOT-250212,,Ea803,인터록 앞쪽 피더들뜸 센서 1,,관리자,,,,ErrLog_SEIL-IDS_9100_LED_BOT-250212_0_20251112.csv
KO,2025-11-12 14:21:00,SEIL-IDS_9100_LED_BOT-250212,,O13187,샤프트 청소 블로우 정상 종료,/TableA,관리자,,,,ErrLog_SEIL-IDS_9100_LED_BOT-250212_0_20251112.csv
KO,2025-11-12 14:35:47,SEIL-IDS_9100_LED_BOT-250212,,Ea803,인터록 앞쪽 피더들뜸 센서 1,,관리자,,,,ErrLog_SEIL-IDS_9100_LED_BOT-250212_13_20251112.csv
KO,2025-11-12 14:38:04,SEIL-IDS_9100_LED_TOP-250212,,Ea803,인터록 앞쪽 피더들뜸 센서 1,,관리자,,,,ErrLog_SEIL-IDS_9100_LED_TOP-250212_0_20251112.csv
KO,2025-11-12 15:22:05,SEIL-IDS_9100_LED_TOP-250212,,Ea803,인터록 앞쪽 피더들뜸 센서 1,,관리자,,,,ErrLog_SEIL-IDS_9100_LED_TOP-250212_13_20251112.csv
KO,2025-11-13 10:42:05,SEIL-AIRDEEP_M_BOT_251113,,Ea814,인터록 앞쪽 피더들뜸 센서 2,,관리자,,,,ErrLog_SEIL-AIRDEEP_M_BOT_251113_0_20251113.csv
KO,2025-11-13 10:54:36,KOREA-G_E-NEW-CONTROL,,Ea814,인터록 앞쪽 피더들뜸 센서 2,,관리자,,,,ErrLog_KOREA-G_E-NEW-CONTROL_0_20251113.csv
KO,2025-11-13 15:02:25,KOREA-G_E-NEW-CONTROL,,O13187,샤프트 청소 블로우 정상 종료,/TableA,관리자,,,,ErrLog_KOREA-G_E-NEW-CONTROL_0_20251113.csv
KO,2025-11-13 16:42:12,KOREA-G_E-NEW-CONTROL,,Ea953,부품흡착 에러,/TableA/M1/H2/C10/P7/VE150,관리자,,,,ErrLog_KOREA-G_E-NEW-CONTROL_146_20251113.csv
KO,2025-11-13 16:42:27,KOREA-G_E-NEW-CONTROL,,Ea953,부품흡착 에러,/TableA/M1/H2/C10/P7/VE150,관리자,,,,ErrLog_KOREA-G_E-NEW-CONTROL_146_20251113.csv
KO,2025-11-13 16:42:33,KOREA-G_E-NEW-CONTROL,,Ea953,부품흡착 에러,/TableA/M1/H2/C10/P7/VE150,관리자,,,,ErrLog_KOREA-G_E-NEW-CONTROL_146_20251113.csv
KO,2025-11-13 16:42:39,KOREA-G_E-NEW-CONTROL,,Ea953,부품흡착 에러,/TableA/M1/H2/C10/P7/VE150,관리자,,,,ErrLog_KOREA-G_E-NEW-CONTROL_146_20251113.csv
KO,2025-11-13 18:01:44,KOREA-G_E-NEW-CONTROL,,Ea814,인터록 앞쪽 피더들뜸 센서 2,,관리자,,,,ErrLog_KOREA-G_E-NEW-CONTROL_250_20251113.csv
KO,2025-11-14 15:31:00,SEIL-AIRDEEP_M_BOT_251113,,Ea814,인터록 앞쪽 피더들뜸 센서 2,,관리자,,,,ErrLog_SEIL-AIRDEEP_M_BOT_251113_0_20251114.csv
